Title,Author(s),Description,Platform/Media Type,Topic
"Explainable Artificial Intelligence (XAI): Concepts, Taxonomies, Opportunities, and Challenges toward Responsible AI",Alejandro Barredo Arrieta et al.,"This paper delves into the concepts, taxonomies, opportunities, and challenges of Explainable AI, aiming to foster responsible AI by enhancing transparency and accountability in machine learning models.",Academic paper or report,Explainable AI (XAI)
AI Ethics,AI Ethics Lab,A platform for resources and discussions on AI ethics.,Organization,AI Ethics
Artificial Unintelligence: How Computers Misunderstand the World,Meredith Broussard,"Broussard offers a critical perspective on the limitations and misconceptions surrounding artificial intelligence, challenging the exaggerated expectations and emphasizing the importance of acknowledging the practical constraints and social implications of technology.",Book,AI Ethics
Speech and Language Processing,Dan Jurafsky & James H. Martin,"A comprehensive textbook that explores the fundamental concepts and techniques in natural language processing and speech recognition. Covering both theory and practical applications, the book teaches students about the intricacies of language processing and its applications.",Book,Natural Language Processing (NLP)
The thrilling potential of sixthsense technology,"Pattie Maes, Pranav Mistry","MIT grad student Pranav Mistry provides a demo of SixthSense, a wearable device with a projector that paves the way for profound interaction with our environment.",TED Talk,Autonomous Systems
AI for Healthcare,Andrew Ng and Coursera,,Online course,AI for Healthcare
Machine Learning for Algorithmic Trading,Stefan Jansen,"A practical guide that delves into the application of machine learning techniques in the context of algorithmic trading, the book provides insights into using data analysis and predictive modeling to make informed decisions in financial markets.",Book,AI in Finance
The jobs we'll lose to machines — and the ones we won't,Anthony Goldbloom,Anthony Goldbloom explores the answer to the question: Will a robot do your job in the future?,TED Talk,Human-AI Collaboration
Partnership on AI,Partnership on AI,A collaboration focused on AI policy and standards,Organization,AI Policy and Regulation
The Creativity Code: Art and Innovation in the Age of AI,Marcus du Sautoy,Marcus du Sautory provides an examination how algorithms and machines are influencing and shaping the world of art and innovation. The book offers insights into the evolving relationship between technology and artistic expression.,Book,AI and Creativity
How Artificial Intelligence is Transforming the Art World,Scott Koegler,"Scott Koegler discusses how AI is changing the art world, enabling artists to use computers for understanding and reproducing their creative ideas. He explores the potential democratization of art creation through AI but also raises concerns about its impact on traditional artistic practices.",Online article,AI and Creativity
Quantum Machine Learning,Jacob Biamonte et al.,"This paper explores the intersection of quantum computing and machine learning, presenting an overview of quantum algorithms and their potential applications in enhancing machine learning tasks.",Academic paper or report,Quantum Computing and AI
Quantum Machine Learning on edX,edX,,Online course,Quantum Computing and AI
AI for Everyone: Master the Basics,Andrew Ng and Coursera,,Online course,AI in Cybersecurity
How AI can save our humanity,Kai-Fu Lee,Computer scientist Kai-Fu Lee discusses how the US and China are driving a deep learning revolution. He also shares a blueprint for how humans can harness compassion and creativity to thrive in the age of AI.,TED Talk,Social Implications of AI
